t_id	chr	strand	start	end	t_name	num_exons	length	gene_id	gene_name	cov	FPKM	NO MATCH
25	211000022279132	+	1	1005	FBtr0114283	1	1005	FBgn0085825	CR41619	0.461409	0.690636	NO MATCH
26	211000022279134	+	1	1012	FBtr0114216	1	1012	FBgn0085766	CR40679	0.511199	0.765162	NO MATCH
27	211000022279165	-	14	1118	FBtr0300167	1	1105	FBgn0259870	Su(Ste):CR42439	0.000000	0.000000	NO MATCH
28	211000022279188	+	1449	2180	FBtr0300105	3	615	FBgn0259817	SteXh:CG42398	0.000000	0.000000	NO MATCH
29	211000022279222	+	1	506	FBtr0114218	1	506	FBgn0085768	CR40712	0.296974	0.444510	NO MATCH
30	211000022279264	-	180	614	FBtr0304147	1	435	FBgn0085511	CR40719	0.036782	0.055055	NO MATCH
31	211000022279342	+	1	530	FBtr0114222	1	530	FBgn0085772	CR40743	0.000000	0.000000	NO MATCH
32	211000022279392	-	1	1356	FBtr0300161	1	1356	FBgn0259864	Su(Ste):CR42433	0.000000	0.000000	NO MATCH
33	211000022279446	+	1	1266	FBtr0114275	1	1266	FBgn0085817	CR41607	0.000000	0.000000	NO MATCH
34	211000022279528	+	2	463	FBtr0114285	1	462	FBgn0085827	CR41621	0.000000	0.000000	NO MATCH
35	211000022279529	+	1	838	FBtr0114223	1	838	FBgn0085773	CR40766	0.952983	1.426423	NO MATCH
36	211000022279531	-	626	1200	FBtr0114280	1	575	FBgn0085822	CR41613	6.255507	9.363232	NO MATCH
37	211000022279555	-	51	1080	FBtr0114257	1	1030	FBgn0085803	CR41550	0.061602	0.092206	NO MATCH
38	211000022279681	+	401	1054	FBtr0300134	1	654	FBgn0259837	Su(Ste):CR42406	0.000000	0.000000	NO MATCH
39	211000022279708	+	608	1275	FBtr0114249	1	668	FBgn0085795	CR41535	5.302769	7.937175	NO MATCH
40	211000022280133	-	220	2161	FBtr0114262	1	1942	FBgn0085808	CR41591	0.000000	0.000000	NO MATCH
41	211000022280328	-	7386	9527	FBtr0347010	4	1428	FBgn0085692	CG41561	0.000000	0.000000	NO MATCH
42	211000022280341	-	1	740	FBtr0347034	1	740	FBgn0267595	CR45933	0.000000	0.000000	NO MATCH
43	211000022280347	-	7	354	FBtr0302352	1	348	FBgn0085540	CR40947	0.000000	0.000000	NO MATCH
44	211000022280481	+	1230	2419	FBtr0300141	1	1190	FBgn0259842	Su(Ste):CR42411	0.000000	0.000000	NO MATCH
45	211000022280494	-	1	1443	FBtr0300139	1	1443	FBgn0259839	Su(Ste):CR42408	0.000000	0.000000	NO MATCH
46	211000022280494	-	2048	3374	FBtr0300138	1	1327	FBgn0259840	Su(Ste):CR42409	0.000000	0.000000	NO MATCH
47	211000022280645	+	1	765	FBtr0114228	1	765	FBgn0085777	CR40959	0.290980	0.435538	NO MATCH
48	211000022280703	+	699	1770	FBtr0347035	1	1072	FBgn0267596	CR45934	0.000000	0.000000	NO MATCH
49	2L	+	7529	9484	FBtr0300689	2	1880	FBgn0031208	CG11023	0.000000	0.000000	NO MATCH
50	2L	+	7529	9484	FBtr0300690	3	1802	FBgn0031208	CG11023	0.000000	0.000000	NO MATCH
51	2L	+	7529	9484	FBtr0330654	2	1844	FBgn0031208	CG11023	0.000000	0.000000	NO MATCH
52	2L	-	9839	18570	FBtr0078170	9	5248	FBgn0002121	l(2)gl	9.129759	13.665406	P08111
53	2L	-	9839	18570	FBtr0078171	10	5391	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
54	2L	-	9839	21376	FBtr0078166	9	5155	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
55	2L	-	9839	21376	FBtr0078167	9	5230	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
56	2L	-	9839	21376	FBtr0078168	9	5225	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
57	2L	-	9839	21376	FBtr0078169	10	5082	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
58	2L	-	9839	21376	FBtr0306589	10	5315	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
59	2L	-	9839	21376	FBtr0306590	9	5179	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
60	2L	-	9839	21376	FBtr0306591	10	5390	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
61	2L	-	9839	21376	FBtr0306592	11	5528	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
62	2L	-	9839	21376	FBtr0330655	9	5281	FBgn0002121	l(2)gl	0.000000	0.000000	P08111
63	2L	-	21823	25155	FBtr0113008	5	2629	FBgn0031209	Ir21a	0.000000	0.000000	Q9VPI2
64	2L	+	21952	24237	FBtr0309810	2	2230	FBgn0263584	CR43609	0.733632	1.098099	NO MATCH
65	2L	-	25402	59268	FBtr0078163	13	4350	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
66	2L	-	25402	59268	FBtr0078164	14	7227	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
67	2L	-	25402	59268	FBtr0113416	13	4347	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
68	2L	-	25402	59268	FBtr0309225	11	6150	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
69	2L	-	25402	59268	FBtr0309227	12	3917	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
70	2L	-	25402	59268	FBtr0309228	14	7266	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
71	2L	-	25402	59268	FBtr0309229	15	7005	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
72	2L	-	25402	65404	FBtr0309226	14	6583	FBgn0051973	Cda5	0.000000	0.000000	NO MATCH
73	2L	+	65999	66242	FBtr0345732	1	244	FBgn0266878	CR45339	0.000000	0.000000	NO MATCH
74	2L	+	66318	66524	FBtr0345733	1	207	FBgn0266879	CR45340	0.000000	0.000000	NO MATCH
75	2L	+	66482	71390	FBtr0306539	7	4153	FBgn0067779	dbr	0.000000	0.000000	NO MATCH
76	2L	+	67043	71081	FBtr0306536	5	3731	FBgn0067779	dbr	8.737683	13.078549	NO MATCH
77	2L	+	67043	71081	FBtr0306538	6	3454	FBgn0067779	dbr	0.000000	0.000000	NO MATCH
78	2L	+	67043	71390	FBtr0078100	5	4040	FBgn0067779	dbr	22.681639	33.949837	NO MATCH
79	2L	+	67043	71390	FBtr0306537	6	3789	FBgn0067779	dbr	0.000000	0.000000	NO MATCH
80	2L	-	71039	73836	FBtr0344052	1	2798	FBgn0266322	CR44987	1.648569	2.467575	NO MATCH
81	2L	-	71039	73836	FBtr0344053	2	2686	FBgn0266322	CR44987	0.000000	0.000000	NO MATCH
82	2L	+	71757	76211	FBtr0306540	4	1430	FBgn0031213	galectin	0.000000	0.000000	NO MATCH
83	2L	+	72387	76211	FBtr0078101	3	1841	FBgn0031213	galectin	8.141151	12.185660	NO MATCH
84	2L	+	73485	76211	FBtr0302164	3	1458	FBgn0031213	galectin	11.948888	17.885075	NO MATCH
85	2L	+	73485	76211	FBtr0331680	4	1536	FBgn0031213	galectin	0.000000	0.000000	NO MATCH
86	2L	+	74129	76211	FBtr0301733	3	1694	FBgn0031213	galectin	5.694452	8.523445	NO MATCH
87	2L	+	76348	77783	FBtr0306541	2	1378	FBgn0031214	CG11374	0.000000	0.000000	NO MATCH
88	2L	-	82421	87387	FBtr0290323	2	2225	FBgn0002931	net	0.000000	0.000000	NO MATCH
89	2L	-	82984	87387	FBtr0330637	2	1662	FBgn0002931	net	0.000000	0.000000	NO MATCH
90	2L	+	94739	102086	FBtr0078103	12	6476	FBgn0031216	Zir	11.521211	17.244926	NO MATCH
91	2L	+	102380	104142	FBtr0078104	3	1583	FBgn0031217	CG11377	21.907076	32.790470	NO MATCH
92	2L	+	102380	104142	FBtr0330636	3	1221	FBgn0031217	CG11377	0.000000	0.000000	NO MATCH
93	2L	-	103962	106732	FBtr0301452	5	2551	FBgn0026787	Nhe1	0.000000	0.000000	NO MATCH
94	2L	+	106903	114432	FBtr0089437	8	2387	FBgn0005278	Sam-S	0.000000	0.000000	P40320
95	2L	+	107761	111337	FBtr0308091	4	961	FBgn0005278	Sam-S	0.000000	0.000000	P40320
96	2L	+	107761	114210	FBtr0089428	8	2184	FBgn0005278	Sam-S	0.000000	0.000000	P40320
97	2L	+	107761	114432	FBtr0089429	7	2293	FBgn0005278	Sam-S	0.000000	0.000000	P40320
98	2L	+	107761	114432	FBtr0330656	6	2298	FBgn0005278	Sam-S	0.000000	0.000000	P40320
99	2L	+	107937	114210	FBtr0089432	7	2283	FBgn0005278	Sam-S	89.347832	133.735672	P40320
